2026-07-18T16:34:29+0000 | INFO    | __main__ | [active_learning] round 3 cand 2: backbone=r3_c2_long_helix_capper n_designs=4 best_score=0.1608
2026-07-18T16:34:34+0000 | INFO    | __main__ | [active_learning] round 3 cand 3: backbone=r3_c3_long_helix_capper n_designs=4 best_score=0.2100
2026-07-18T16:34:39+0000 | INFO    | __main__ | [active_learning] round 3 cand 4: backbone=r3_c4_long_helix_capper n_designs=4 best_score=0.2465
2026-07-18T16:34:43+0000 | INFO    | __main__ | [active_learning] round 3 cand 5: backbone=r3_c5_three_helix_bundle n_designs=4 best_score=0.1054
2026-07-18T16:34:48+0000 | INFO    | __main__ | [active_learning] round 3 cand 6: backbone=r3_c6_long_helix_capper n_designs=4 best_score=0.2769
2026-07-18T16:34:52+0000 | INFO    | __main__ | [active_learning] round 3 cand 7: backbone=r3_c7_long_helix_capper n_designs=4 best_score=0.2893
2026-07-18T16:34:52+0000 | INFO    | __main__ | [active_learning] round 3 complete: round_best=0.2893, cumulative_best=0.2893
2026-07-18T16:34:57+0000 | INFO    | __main__ | [active_learning] round 4 cand 0: backbone=r4_c0_long_helix_capper n_designs=4 best_score=0.2679
2026-07-18T16:35:01+0000 | INFO    | __main__ | [active_learning] round 4 cand 1: backbone=r4_c1_long_helix_capper n_designs=4 best_score=0.2520
2026-07-18T16:35:05+0000 | INFO    | __main__ | [active_learning] round 4 cand 2: backbone=r4_c2_long_helix_capper n_designs=4 best_score=0.1932
2026-07-18T16:35:10+0000 | INFO    | __main__ | [active_learning] round 4 cand 3: backbone=r4_c3_helix_strand_helix n_designs=4 best_score=0.1343
2026-07-18T16:35:15+0000 | INFO    | __main__ | [active_learning] round 4 cand 4: backbone=r4_c4_long_helix_capper n_designs=4 best_score=0.2603
2026-07-18T16:35:20+0000 | INFO    | __main__ | [active_learning] round 4 cand 5: backbone=r4_c5_long_helix_capper n_designs=4 best_score=0.2803
2026-07-18T16:35:24+0000 | INFO    | __main__ | [active_learning] round 4 cand 6: backbone=r4_c6_long_helix_capper n_designs=4 best_score=0.2551
2026-07-18T16:35:29+0000 | INFO    | __main__ | [active_learning] round 4 cand 7: backbone=r4_c7_long_helix_capper n_designs=4 best_score=0.2865
2026-07-18T16:35:29+0000 | INFO    | __main__ | [active_learning] round 4 complete: round_best=0.2865, cumulative_best=0.2893
2026-07-18T16:35:33+0000 | INFO    | __main__ | [active_learning] round 5 cand 0: backbone=r5_c0_long_helix_capper n_designs=4 best_score=0.2829
2026-07-18T16:35:38+0000 | INFO    | __main__ | [active_learning] round 5 cand 1: backbone=r5_c1_helix_strand_helix n_designs=4 best_score=0.1675
2026-07-18T16:35:42+0000 | INFO    | __main__ | [active_learning] round 5 cand 2: backbone=r5_c2_long_helix_capper n_designs=4 best_score=0.1549
2026-07-18T16:35:47+0000 | INFO    | __main__ | [active_learning] round 5 cand 3: backbone=r5_c3_helix_strand_helix n_designs=4 best_score=0.1291
2026-07-18T16:35:51+0000 | INFO    | __main__ | [active_learning] round 5 cand 4: backbone=r5_c4_long_helix_capper n_designs=4 best_score=0.2663
2026-07-18T16:35:56+0000 | INFO    | __main__ | [active_learning] round 5 cand 5: backbone=r5_c5_long_helix_capper n_designs=4 best_score=0.2820
2026-07-18T16:36:00+0000 | INFO    | __main__ | [active_learning] round 5 cand 6: backbone=r5_c6_long_helix_capper n_designs=4 best_score=0.2681
2026-07-18T16:36:05+0000 | INFO    | __main__ | [active_learning] round 5 cand 7: backbone=r5_c7_long_helix_capper n_designs=4 best_score=0.2809
2026-07-18T16:36:05+0000 | INFO    | __main__ | [active_learning] round 5 complete: round_best=0.2829, cumulative_best=0.2893
2026-07-18T16:36:09+0000 | INFO    | __main__ | [active_learning] round 6 cand 0: backbone=r6_c0_long_helix_capper n_designs=4 best_score=0.2914
2026-07-18T16:36:14+0000 | INFO    | __main__ | [active_learning] round 6 cand 1: backbone=r6_c1_long_helix_capper n_designs=4 best_score=0.2131
2026-07-18T16:36:19+0000 | INFO    | __main__ | [active_learning] round 6 cand 2: backbone=r6_c2_long_helix_capper n_designs=4 best_score=0.2287
2026-07-18T16:36:24+0000 | INFO    | __main__ | [active_learning] round 6 cand 3: backbone=r6_c3_long_helix_capper n_designs=4 best_score=0.2744
2026-07-18T16:36:29+0000 | INFO    | __main__ | [active_learning] round 6 cand 4: backbone=r6_c4_long_helix_capper n_designs=4 best_score=0.2699
2026-07-18T16:36:33+0000 | INFO    | __main__ | [active_learning] round 6 cand 5: backbone=r6_c5_long_helix_capper n_designs=4 best_score=0.2433
2026-07-18T16:36:38+0000 | INFO    | __main__ | [active_learning] round 6 cand 6: backbone=r6_c6_long_helix_capper n_designs=4 best_score=0.2636
2026-07-18T16:36:43+0000 | INFO    | __main__ | [active_learning] round 6 cand 7: backbone=r6_c7_long_helix_capper n_designs=4 best_score=0.2768
2026-07-18T16:36:43+0000 | INFO    | __main__ | [active_learning] round 6 complete: round_best=0.2914, cumulative_best=0.2914
2026-07-18T16:36:48+0000 | INFO    | __main__ | [active_learning] round 7 cand 0: backbone=r7_c0_long_helix_capper n_designs=4 best_score=0.2201
2026-07-18T16:36:52+0000 | INFO    | __main__ | [active_learning] round 7 cand 1: backbone=r7_c1_long_helix_capper n_designs=4 best_score=0.1750
2026-07-18T16:36:57+0000 | INFO    | __main__ | [active_learning] round 7 cand 2: backbone=r7_c2_long_helix_capper n_designs=4 best_score=0.1485
2026-07-18T16:37:01+0000 | INFO    | __main__ | [active_learning] round 7 cand 3: backbone=r7_c3_long_helix_capper n_designs=4 best_score=0.2331
2026-07-18T16:37:06+0000 | INFO    | __main__ | [active_learning] round 7 cand 4: backbone=r7_c4_long_helix_capper n_designs=4 best_score=0.2383
2026-07-18T16:37:10+0000 | INFO    | __main__ | [active_learning] round 7 cand 5: backbone=r7_c5_long_helix_capper n_designs=4 best_score=0.2308
2026-07-18T16:37:17+0000 | INFO    | __main__ | [active_learning] round 7 cand 6: backbone=r7_c6_long_helix_capper n_designs=4 best_score=0.2787
2026-07-18T16:37:24+0000 | INFO    | __main__ | [active_learning] round 7 cand 7: backbone=r7_c7_long_helix_capper n_designs=4 best_score=0.2323
